region;country;year;sex;total_NCD_death;;
Eastern Mediterranean;Afghanistan;2021;Female;66890;;
Eastern Mediterranean;Afghanistan;2021;Male;49764;;
Eastern Mediterranean;Afghanistan;2020;Female;67976;;
Eastern Mediterranean;Afghanistan;2020;Male;55371;;
Eastern Mediterranean;Afghanistan;2019;Female;65677;;
Eastern Mediterranean;Afghanistan;2019;Male;52903;;
Eastern Mediterranean;Afghanistan;2018;Female;62653;;
Eastern Mediterranean;Afghanistan;2018;Male;50881;;
Eastern Mediterranean;Afghanistan;2017;Female;60876;;
Eastern Mediterranean;Afghanistan;2017;Male;49841;;
Eastern Mediterranean;Bahrain;2021;Female;2061;;
Eastern Mediterranean;Bahrain;2021;Male;2495;;
Eastern Mediterranean;Bahrain;2020;Female;1685;;
Eastern Mediterranean;Bahrain;2020;Male;2648;;
Eastern Mediterranean;Bahrain;2019;Female;1758;;
Eastern Mediterranean;Bahrain;2019;Male;2344;;
Eastern Mediterranean;Bahrain;2018;Female;1649;;
Eastern Mediterranean;Bahrain;2018;Male;2345;;
Eastern Mediterranean;Bahrain;2017;Female;1618;;
Eastern Mediterranean;Bahrain;2017;Male;2257;;
Eastern Mediterranean;Djibouti;2021;Female;2069;;
Eastern Mediterranean;Djibouti;2021;Male;2059;;
Eastern Mediterranean;Djibouti;2020;Female;2023;;
Eastern Mediterranean;Djibouti;2020;Male;2130;;
Eastern Mediterranean;Djibouti;2019;Female;2008;;
Eastern Mediterranean;Djibouti;2019;Male;2036;;
Eastern Mediterranean;Djibouti;2018;Female;1981;;
Eastern Mediterranean;Djibouti;2018;Male;1991;;
Eastern Mediterranean;Djibouti;2017;Female;1923;;
Eastern Mediterranean;Djibouti;2017;Male;1929;;
Eastern Mediterranean;Egypt;2021;Female;222674;;
Eastern Mediterranean;Egypt;2021;Male;256725;;
Eastern Mediterranean;Egypt;2020;Female;224091;;
Eastern Mediterranean;Egypt;2020;Male;257437;;
Eastern Mediterranean;Egypt;2019;Female;220582;;
Eastern Mediterranean;Egypt;2019;Male;269009;;
Eastern Mediterranean;Egypt;2018;Female;218031;;
Eastern Mediterranean;Egypt;2018;Male;263606;;
Eastern Mediterranean;Egypt;2017;Female;210666;;
Eastern Mediterranean;Egypt;2017;Male;256355;;
Eastern Mediterranean;Iran (Islamic Republic of);2021;Female;151586;;
Eastern Mediterranean;Iran (Islamic Republic of);2021;Male;140099;;
Eastern Mediterranean;Iran (Islamic Republic of);2020;Female;154010;;
Eastern Mediterranean;Iran (Islamic Republic of);2020;Male;165188;;
